Variable 1,Variable 2,Correlation (Total),Correlation (Churn=0),Correlation (Churn=1),Correlation (Total) (ABS),Correlation (Churn=0) (ABS),Correlation (Churn=1) (ABS)
arpu_7,arpu_6,0.7437,0.7864,0.445,0.7437,0.7864,0.445
arpu_8,arpu_6,0.6432,0.7039,0.2174,0.6432,0.7039,0.2174
arpu_8,arpu_7,0.7823,0.8053,0.5279,0.7823,0.8053,0.5279
onnet_mou_6,arpu_6,0.4485,0.4472,0.4547,0.4485,0.4472,0.4547
onnet_mou_6,arpu_7,0.3203,0.3307,0.295,0.3203,0.3307,0.295
onnet_mou_6,arpu_8,0.2414,0.2702,0.1316,0.2414,0.2702,0.1316
onnet_mou_7,arpu_6,0.3244,0.3315,0.2779,0.3244,0.3315,0.2779
onnet_mou_7,arpu_7,0.4292,0.4209,0.5091,0.4292,0.4209,0.5091
onnet_mou_7,arpu_8,0.3261,0.3335,0.3025,0.3261,0.3335,0.3025
onnet_mou_7,onnet_mou_6,0.7339,0.751,0.6528,0.7339,0.751,0.6528
onnet_mou_8,arpu_6,0.2603,0.2761,0.1538,0.2603,0.2761,0.1538
onnet_mou_8,arpu_7,0.3419,0.3417,0.323,0.3419,0.3417,0.323
onnet_mou_8,arpu_8,0.4211,0.4121,0.4945,0.4211,0.4121,0.4945
onnet_mou_8,onnet_mou_6,0.5978,0.6421,0.3567,0.5978,0.6421,0.3567
onnet_mou_8,onnet_mou_7,0.7875,0.8081,0.634,0.7875,0.8081,0.634
offnet_mou_6,arpu_6,0.6117,0.6236,0.5392,0.6117,0.6236,0.5392
offnet_mou_6,arpu_7,0.4646,0.4878,0.3289,0.4646,0.4878,0.3289
offnet_mou_6,arpu_8,0.3707,0.4118,0.1168,0.3707,0.4118,0.1168
offnet_mou_6,onnet_mou_6,0.1989,0.2121,0.1227,0.1989,0.2121,0.1227
offnet_mou_6,onnet_mou_7,0.1545,0.1686,0.0642,0.1545,0.1686,0.0642
offnet_mou_6,onnet_mou_8,0.1325,0.1474,0.0263,0.1325,0.1474,0.0263
offnet_mou_7,arpu_6,0.4556,0.4774,0.3085,0.4556,0.4774,0.3085
offnet_mou_7,arpu_7,0.5962,0.5964,0.5923,0.5962,0.5964,0.5923
offnet_mou_7,arpu_8,0.4689,0.4861,0.3046,0.4689,0.4861,0.3046
offnet_mou_7,onnet_mou_6,0.1435,0.1591,0.0591,0.1435,0.1591,0.0591
offnet_mou_7,onnet_mou_7,0.1927,0.1958,0.1657,0.1927,0.1958,0.1657
offnet_mou_7,onnet_mou_8,0.164,0.1686,0.0951,0.164,0.1686,0.0951
offnet_mou_7,offnet_mou_6,0.7405,0.7597,0.6321,0.7405,0.7597,0.6321
offnet_mou_8,arpu_6,0.3618,0.3893,0.1525,0.3618,0.3893,0.1525
offnet_mou_8,arpu_7,0.4656,0.474,0.3341,0.4656,0.474,0.3341
offnet_mou_8,arpu_8,0.5904,0.587,0.5573,0.5904,0.587,0.5573
offnet_mou_8,onnet_mou_6,0.1153,0.1323,0.0262,0.1153,0.1323,0.0262
offnet_mou_8,onnet_mou_7,0.1534,0.159,0.0999,0.1534,0.159,0.0999
offnet_mou_8,onnet_mou_8,0.1951,0.1888,0.2109,0.1951,0.1888,0.2109
offnet_mou_8,offnet_mou_6,0.5734,0.6178,0.2713,0.5734,0.6178,0.2713
offnet_mou_8,offnet_mou_7,0.7557,0.7796,0.5331,0.7557,0.7796,0.5331
roam_ic_mou_6,arpu_6,0.1325,0.1316,0.1424,0.1325,0.1316,0.1424
roam_ic_mou_6,arpu_7,0.0988,0.1096,0.0791,0.0988,0.1096,0.0791
roam_ic_mou_6,arpu_8,0.0861,0.1041,0.0619,0.0861,0.1041,0.0619
roam_ic_mou_6,onnet_mou_6,0.0461,0.0487,0.03,0.0461,0.0487,0.03
roam_ic_mou_6,onnet_mou_7,0.0539,0.0659,0.0087,0.0539,0.0659,0.0087
roam_ic_mou_6,onnet_mou_8,0.0577,0.0711,0.0153,0.0577,0.0711,0.0153
roam_ic_mou_6,offnet_mou_6,0.0651,0.0714,0.0394,0.0651,0.0714,0.0394
roam_ic_mou_6,offnet_mou_7,0.072,0.0849,0.0293,0.072,0.0849,0.0293
roam_ic_mou_6,offnet_mou_8,0.073,0.0871,0.0457,0.073,0.0871,0.0457
roam_ic_mou_7,arpu_6,0.0895,0.1037,0.0517,0.0895,0.1037,0.0517
roam_ic_mou_7,arpu_7,0.1006,0.1108,0.1096,0.1006,0.1108,0.1096
roam_ic_mou_7,arpu_8,0.0801,0.0991,0.0956,0.0801,0.0991,0.0956
roam_ic_mou_7,onnet_mou_6,0.0445,0.0542,0.0109,0.0445,0.0542,0.0109
roam_ic_mou_7,onnet_mou_7,0.0305,0.038,0.0126,0.0305,0.038,0.0126
roam_ic_mou_7,onnet_mou_8,0.0336,0.0453,0.0183,0.0336,0.0453,0.0183
roam_ic_mou_7,offnet_mou_6,0.0547,0.065,0.0236,0.0547,0.065,0.0236
roam_ic_mou_7,offnet_mou_7,0.0496,0.0583,0.0378,0.0496,0.0583,0.0378
roam_ic_mou_7,offnet_mou_8,0.0478,0.0617,0.0455,0.0478,0.0617,0.0455
roam_ic_mou_7,roam_ic_mou_6,0.4538,0.4348,0.4972,0.4538,0.4348,0.4972
roam_ic_mou_8,arpu_6,0.0862,0.0992,0.0394,0.0862,0.0992,0.0394
roam_ic_mou_8,arpu_7,0.0938,0.0997,0.1067,0.0938,0.0997,0.1067
roam_ic_mou_8,arpu_8,0.1078,0.1189,0.1664,0.1078,0.1189,0.1664
roam_ic_mou_8,onnet_mou_6,0.0552,0.0617,0.0258,0.0552,0.0617,0.0258
roam_ic_mou_8,onnet_mou_7,0.0486,0.0521,0.044,0.0486,0.0521,0.044
roam_ic_mou_8,onnet_mou_8,0.0361,0.0404,0.0585,0.0361,0.0404,0.0585
roam_ic_mou_8,offnet_mou_6,0.0614,0.0718,0.0219,0.0614,0.0718,0.0219
roam_ic_mou_8,offnet_mou_7,0.0639,0.0685,0.064,0.0639,0.0685,0.064
roam_ic_mou_8,offnet_mou_8,0.0526,0.0611,0.0756,0.0526,0.0611,0.0756
roam_ic_mou_8,roam_ic_mou_6,0.3283,0.3192,0.3465,0.3283,0.3192,0.3465
roam_ic_mou_8,roam_ic_mou_7,0.6348,0.568,0.7709,0.6348,0.568,0.7709
roam_og_mou_6,arpu_6,0.236,0.2253,0.2904,0.236,0.2253,0.2904
roam_og_mou_6,arpu_7,0.169,0.1768,0.173,0.169,0.1768,0.173
roam_og_mou_6,arpu_8,0.1522,0.1718,0.1484,0.1522,0.1718,0.1484
roam_og_mou_6,onnet_mou_6,0.1162,0.114,0.1167,0.1162,0.114,0.1167
roam_og_mou_6,onnet_mou_7,0.1119,0.1236,0.0656,0.1119,0.1236,0.0656
roam_og_mou_6,onnet_mou_8,0.1161,0.1312,0.0799,0.1161,0.1312,0.0799
roam_og_mou_6,offnet_mou_6,0.1522,0.1567,0.1313,0.1522,0.1567,0.1313
roam_og_mou_6,offnet_mou_7,0.142,0.1584,0.0814,0.142,0.1584,0.0814
roam_og_mou_6,offnet_mou_8,0.1394,0.1588,0.1001,0.1394,0.1588,0.1001
roam_og_mou_6,roam_ic_mou_6,0.5681,0.5869,0.5127,0.5681,0.5869,0.5127
roam_og_mou_6,roam_ic_mou_7,0.2706,0.2959,0.2132,0.2706,0.2959,0.2132
roam_og_mou_6,roam_ic_mou_8,0.1917,0.2155,0.1203,0.1917,0.2155,0.1203
roam_og_mou_7,arpu_6,0.1726,0.1715,0.1816,0.1726,0.1715,0.1816
roam_og_mou_7,arpu_7,0.2085,0.2,0.322,0.2085,0.2,0.322
roam_og_mou_7,arpu_8,0.1636,0.1716,0.2866,0.1636,0.1716,0.2866
roam_og_mou_7,onnet_mou_6,0.1112,0.11,0.1049,0.1112,0.11,0.1049
roam_og_mou_7,onnet_mou_7,0.104,0.1021,0.1281,0.104,0.1021,0.1281
roam_og_mou_7,onnet_mou_8,0.1036,0.1099,0.1509,0.1036,0.1099,0.1509
roam_og_mou_7,offnet_mou_6,0.1257,0.1335,0.0917,0.1257,0.1335,0.0917
roam_og_mou_7,offnet_mou_7,0.1324,0.1384,0.1333,0.1324,0.1384,0.1333
roam_og_mou_7,offnet_mou_8,0.1147,0.1298,0.1307,0.1147,0.1298,0.1307
roam_og_mou_7,roam_ic_mou_6,0.3029,0.2997,0.3056,0.3029,0.2997,0.3056
roam_og_mou_7,roam_ic_mou_7,0.5272,0.5866,0.4008,0.5272,0.5866,0.4008
roam_og_mou_7,roam_ic_mou_8,0.3383,0.3534,0.2921,0.3383,0.3534,0.2921
roam_og_mou_7,roam_og_mou_6,0.5096,0.4882,0.569,0.5096,0.4882,0.569
roam_og_mou_8,arpu_6,0.1408,0.1503,0.1046,0.1408,0.1503,0.1046
roam_og_mou_8,arpu_7,0.1669,0.1637,0.24,0.1669,0.1637,0.24
roam_og_mou_8,arpu_8,0.2107,0.2079,0.425,0.2107,0.2079,0.425
roam_og_mou_8,onnet_mou_6,0.0937,0.0951,0.0796,0.0937,0.0951,0.0796
roam_og_mou_8,onnet_mou_7,0.1064,0.0992,0.1557,0.1064,0.0992,0.1557
roam_og_mou_8,onnet_mou_8,0.1151,0.1029,0.3059,0.1151,0.1029,0.3059
roam_og_mou_8,offnet_mou_6,0.1177,0.1291,0.0714,0.1177,0.1291,0.0714
roam_og_mou_8,offnet_mou_7,0.1326,0.1408,0.1226,0.1326,0.1408,0.1226
roam_og_mou_8,offnet_mou_8,0.1408,0.1483,0.2395,0.1408,0.1483,0.2395
roam_og_mou_8,roam_ic_mou_6,0.1933,0.2086,0.1455,0.1933,0.2086,0.1455
roam_og_mou_8,roam_ic_mou_7,0.3085,0.3459,0.2255,0.3085,0.3459,0.2255
roam_og_mou_8,roam_ic_mou_8,0.4872,0.5446,0.3365,0.4872,0.5446,0.3365
roam_og_mou_8,roam_og_mou_6,0.3633,0.3634,0.3562,0.3633,0.3634,0.3562
roam_og_mou_8,roam_og_mou_7,0.5922,0.5744,0.6369,0.5922,0.5744,0.6369
loc_og_t2t_mou_6,arpu_6,0.2357,0.2456,0.1713,0.2357,0.2456,0.1713
loc_og_t2t_mou_6,arpu_7,0.1796,0.1853,0.0958,0.1796,0.1853,0.0958
loc_og_t2t_mou_6,arpu_8,0.1545,0.1582,0.0395,0.1545,0.1582,0.0395
loc_og_t2t_mou_6,onnet_mou_6,0.5029,0.529,0.3693,0.5029,0.529,0.3693
loc_og_t2t_mou_6,onnet_mou_7,0.3808,0.4065,0.1395,0.3808,0.4065,0.1395
loc_og_t2t_mou_6,onnet_mou_8,0.3273,0.3424,0.0715,0.3273,0.3424,0.0715
loc_og_t2t_mou_6,offnet_mou_6,0.144,0.1554,0.0706,0.144,0.1554,0.0706
loc_og_t2t_mou_6,offnet_mou_7,0.0993,0.1047,0.0346,0.0993,0.1047,0.0346
loc_og_t2t_mou_6,offnet_mou_8,0.0911,0.0918,0.0237,0.0911,0.0918,0.0237
loc_og_t2t_mou_6,roam_ic_mou_6,-0.0037,-0.0006,-0.0122,0.0037,0.0006,0.0122
loc_og_t2t_mou_6,roam_ic_mou_7,0.004,0.0097,-0.0084,0.004,0.0097,0.0084
loc_og_t2t_mou_6,roam_ic_mou_8,0.0272,0.0377,-0.0077,0.0272,0.0377,0.0077
loc_og_t2t_mou_6,roam_og_mou_6,-0.0081,-0.0066,-0.0044,0.0081,0.0066,0.0044
loc_og_t2t_mou_6,roam_og_mou_7,0.0085,0.0125,0.0053,0.0085,0.0125,0.0053
loc_og_t2t_mou_6,roam_og_mou_8,0.0132,0.0199,-0.0067,0.0132,0.0199,0.0067
loc_og_t2t_mou_7,arpu_6,0.1989,0.211,0.1192,0.1989,0.211,0.1192
